"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"373","pp","DE811120420",2,"MABANAFT DEUTSCHLAND  GmbH&Co.KG",0,0,0,0,NA,0
"374","pp","DE283692898",2,"MABANAFT  INTERNATIONAL GmbH&Co.KG",0,0,0,0,NA,0
"375","g","GB577 7048 00",1,"MACQUARIE  BANK LIMITED, LONDON BRANCH",0,0,0,0,0,0
"376","ee","B65142333",3,"MADRILEÑA SUMINISTRO  DE GAS, S.L.",14.209381,0.001829,0.055251,3752.45,324.82,4077.28
"377","ee","B57688731",3,"MALLORQUINA  DE ENERGÍAS, S.L.U.",2.603323,0.000335,0.010123,687.49,0.58,688.07
"378","pp","B18610741",2.3,"MARILLION, S.R.L.",0,0,0,0,NA,0
"379","ee","A12783460",2,"MARINA D'OR ENERGÍAS, S.A.",0,0,0,0,NA,0
"380","pp","B86876554",NA,"MASOL CARTAGENA  BIOFUEL, S.L.U.",0,0,0,0,0,0
"381","pp","B86762903",NA,"MASOL IBERIA BIOFUEL, S.L.",0,0,0,0,0,0
"382","ee","F42212696",2,"MEGARA ENERGÍA SOCIEDAD COOPERATIVA  CYL",0,0,0,0,NA,0
"383","pp","B87308490",1,"MENA ENERGY SPAIN, S.L.",0,0,0,0,0,0
"384","pp","253/431/352",NA,"MERCURIA BIOFUELS BRUNSBÜTTEL  GMBH&CO.KG",0,0,0,0,0,0
"385","pp","B85036606",NA,"MERCURIA ENERGÍA, S.L.",0,0,0,0,0,0
"386","ee","CHE111729324",NA,"MERCURIA ENERGY TRADING, S.A.",0,0,0,0,0,0
"387","g+pp","B66761941",2,"MERIDIUM PETROLEUM,  S.L.",0,0,0,0,NA,0
"388","pp","A60404910",NA,"MEROIL, S.A.",6584.138,0.847331,25.601377,1738757.99,2349.37,1741107.36
"389","g",NA,2.3,"MERRILL LYNCH INTERNATIONAL",0,0,0,0,NA,0
